Date,Closing Price,Volume
2022-01-01,178.5179443359375,1084780603
2022-01-02,176.38284301757812,995389409
2022-01-03,170.29774475097656,1345778058
2022-01-04,167.93890380859375,1499265336
2022-01-05,155.0997314453125,2123759721
2022-01-06,150.4313507080078,2097172620
2022-01-07,136.40281677246094,2926269672
2022-01-08,142.51345825195312,2730000333
2022-01-09,140.83900451660156,1599123912
2022-01-10,135.95494079589844,2040883379
2022-01-11,140.18385314941406,1554197314
2022-01-12,151.70310974121094,2242337550
2022-01-13,146.01004028320312,2177023564
2022-01-14,146.15902709960938,1822320951
2022-01-15,147.80117797851562,1123271784
2022-01-16,147.8565216064453,1172854751
2022-01-17,139.92601013183594,1487772250
2022-01-18,141.58718872070312,1449435942
2022-01-19,135.79238891601562,1444663456
2022-01-20,127.20528411865234,984099352
2022-01-21,111.96605682373047,3771688473
2022-01-22,94.1783676147461,4039466376
2022-01-23,99.5782241821289,2548191912
2022-01-24,91.65016174316406,4664539688
2022-01-25,94.72035217285156,2842652332
2022-01-26,92.23804473876953,3177186515
2022-01-27,89.63249206542969,2513945822
2022-01-28,91.31289672851562,2156098049
2022-01-29,96.2234878540039,1727329992
2022-01-30,93.29767608642578,1110338981
2022-01-31,99.73883819580078,1888454241
2022-02-01,109.9789810180664,3568466349
2022-02-02,101.83760070800781,3297984784
2022-02-03,101.45903778076172,2618951519
2022-02-04,112.17424774169922,3121470028
2022-02-05,113.89430236816406,2337469324
2022-02-06,115.29975891113281,1488437091
2022-02-07,117.35514831542969,2501444983
2022-02-08,113.5954818725586,2670414753
2022-02-09,114.01937866210938,1844036035
2022-02-10,106.20280456542969,2534257400
2022-02-11,96.38188171386719,2244853464
2022-02-12,95.91820526123047,1722515979
2022-02-13,93.24410247802734,1150014559
2022-02-14,96.43327331542969,1787236369
2022-02-15,104.87330627441406,2134576044
2022-02-16,101.93289947509766,1908954820
2022-02-17,93.4104232788086,1872498133
2022-02-18,90.06546020507812,1669246812
2022-02-19,91.49665069580078,1084605729
2022-02-20,90.90141296386719,1912980153
2022-02-21,83.12316131591797,2892900595
2022-02-22,86.46538543701172,2046554018
2022-02-23,84.90278625488281,2293962445
2022-02-24,89.19474792480469,5253578948
2022-02-25,92.59882354736328,3069242551
2022-02-26,90.14156341552734,1721041901
2022-02-27,85.51905059814453,2012522473
2022-02-28,99.52034759521484,3457872746
2022-03-01,98.65355682373047,3225742519
2022-03-02,100.6496353149414,3800592927
2022-03-03,95.53919982910156,2309311748
2022-03-04,88.24597930908203,2592829728
2022-03-05,89.64784240722656,1437161887
2022-03-06,84.54218292236328,1467561782
2022-03-07,82.13006591796875,2375648176
2022-03-08,82.2547607421875,2112765959
2022-03-09,88.20206451416016,2624860794
2022-03-10,82.9390869140625,2196400279
2022-03-11,80.7449951171875,1852734626
2022-03-12,81.55381774902344,1036290480
2022-03-13,78.93607330322266,1316842580
2022-03-14,81.17333984375,1676601058
2022-03-15,82.95508575439453,1627848455
2022-03-16,87.90362548828125,2370877301
2022-03-17,87.87684631347656,2440062581
2022-03-18,89.82203674316406,2745357460
2022-03-19,92.41815185546875,1951674158
2022-03-20,88.61486053466797,1286133603
2022-03-21,88.7572021484375,1598537312
2022-03-22,90.51296997070312,1879747152
2022-03-23,95.1026840209961,2099467745
2022-03-24,102.22369384765625,3601646600
2022-03-25,98.6581039428711,2175497007
2022-03-26,101.7641830444336,1282869612
2022-03-27,107.08422088623047,1572329892
2022-03-28,106.46525573730469,2877146388
2022-03-29,111.71031188964844,3052274877
2022-03-30,120.6994857788086,3908170428
2022-03-31,122.66146087646484,4115229587
2022-04-01,134.43093872070312,4434807484
2022-04-02,132.19886779785156,3394186456
2022-04-03,136.77532958984375,2585967812
2022-04-04,132.41262817382812,2828117206
2022-04-05,126.86223602294922,2239922210
2022-04-06,112.88338470458984,3281009143
2022-04-07,118.79651641845703,2431083313
2022-04-08,109.8008804321289,2376864565
2022-04-09,112.97279357910156,1202250516
2022-04-10,111.74243927001953,1280232450
2022-04-11,99.33910369873047,2272498194
2022-04-12,103.30638885498047,2317008207
2022-04-13,105.00194549560547,1675840412
2022-04-14,100.70780181884766,1686576071
2022-04-15,101.30977630615234,1050639351
2022-04-16,102.25731658935547,774939305
2022-04-17,100.40969848632812,1057908299
2022-04-18,102.15853118896484,1846133932
2022-04-19,108.58203125,1711909607
2022-04-20,105.49700164794922,1761531528
2022-04-21,101.77613830566406,1838571747
2022-04-22,100.61205291748047,1274793594
2022-04-23,100.74443817138672,823252482
2022-04-24,99.23579406738281,818266008
2022-04-25,101.24763488769531,1538486689
2022-04-26,95.78215026855469,1301074534
2022-04-27,98.37886810302734,1253566599
2022-04-28,98.18572998046875,1307131609
2022-04-29,94.01134490966797,1234575023
2022-04-30,85.09593200683594,1293033765
2022-05-01,89.6715087890625,1426749080
2022-05-02,87.58101654052734,1265220129
2022-05-03,85.84237670898438,1011988792
2022-05-04,92.7708511352539,1428455342
2022-05-05,84.59602355957031,1805979399
2022-05-06,81.76410675048828,1585081920
2022-05-07,78.9834213256836,1139093165
2022-05-08,75.22018432617188,1439700868
